,Mg Loading,K Loading,Ca Loading,Sc Loading,Cr Loading,Mn Loading,Fe Loading,Co Loading,Ni Loading,Cu Loading,Zn Loading,Sr Loading,Y Loading,Mo Loading,Ru Loading,Rh Loading,Pd Loading,In Loading,Hf Loading,W Loading,Re Loading,Os Loading,Ir Loading,Pt Loading,Bi Loading,reactor_number,temperature,space_velocity,group,ammonia_concentration,standard error,n_averaged,n_elements,Atomic Number_wt-mean,Atomic Number_wt-mad,Atomic Volume_wt-mean,Atomic Volume_wt-mad,Atomic Weight_wt-mean,Atomic Weight_wt-mad,Boiling Temperature_wt-mean,Boiling Temperature_wt-mad,Periodic Table Column_wt-mean,Periodic Table Column_wt-mad,Covalent Radius_wt-mean,Covalent Radius_wt-mad,Density_wt-mean,Density_wt-mad,Dipole Polarizability_wt-mean,Dipole Polarizability_wt-mad,Electron Affinity_wt-mean,Electron Affinity_wt-mad,Electronegativity_wt-mean,Electronegativity_wt-mad,Fusion Enthalpy_wt-mean,Fusion Enthalpy_wt-mad,GS Bandgap_wt-mean,GS Bandgap_wt-mad,GS Energy_wt-mean,GS Energy_wt-mad,Heat Capacity (Mass)_wt-mean,Heat Capacity (Mass)_wt-mad,Heat Capacity (Molar)_wt-mean,Heat Capacity (Molar)_wt-mad,Heat Fusion_wt-mean,Heat Fusion_wt-mad,First Ionization Energy_wt-mean,First Ionization Energy_wt-mad,Second Ionization Energy_wt-mean,Second Ionization Energy_wt-mad,Third Ionization Energy_wt-mean,Third Ionization Energy_wt-mad,Fourth Ionization Energy_wt-mean,Fourth Ionization Energy_wt-mad,Fifth Ionization Energy_wt-mean,Fifth Ionization Energy_wt-mad,Sixth Ionization Energy_wt-mean,Sixth Ionization Energy_wt-mad,Seventh Ionization Energy_wt-mean,Seventh Ionization Energy_wt-mad,Eighth Ionization Energy_wt-mean,Eighth Ionization Energy_wt-mad,IsAlkali_wt-mean,IsAlkali_wt-mad,IsDBlock_wt-mean,IsDBlock_wt-mad,IsFBlock_wt-mean,IsFBlock_wt-mad,IsMetal_wt-mean,IsMetal_wt-mad,IsMetalloid_wt-mean,IsMetalloid_wt-mad,IsNonmetal_wt-mean,IsNonmetal_wt-mad,Melting Temperature_wt-mean,Melting Temperature_wt-mad,Mendeleev Number_wt-mean,Mendeleev Number_wt-mad,Number d-shell Unfilled Electrons_wt-mean,Number d-shell Unfilled Electrons_wt-mad,Number d-shell Valance Electrons_wt-mean,Number d-shell Valance Electrons_wt-mad,Number f-shell Unfilled Electrons_wt-mean,Number f-shell Unfilled Electrons_wt-mad,Number f-shell Valance Electrons_wt-mean,Number f-shell Valance Electrons_wt-mad,Number p-shell Unfilled Electrons_wt-mean,Number p-shell Unfilled Electrons_wt-mad,Number p-shell Valance Electrons_wt-mean,Number p-shell Valance Electrons_wt-mad,Number s-shell Unfilled Electrons_wt-mean,Number s-shell Unfilled Electrons_wt-mad,Number s-shell Valance Electrons_wt-mean,Number s-shell Valance Electrons_wt-mad,Number Unfilled Electrons_wt-mean,Number Unfilled Electrons_wt-mad,Number Valence Electrons_wt-mean,Number Valence Electrons_wt-mad,Polarizability_wt-mean,Polarizability_wt-mad,Periodic Table Row_wt-mean,Periodic Table Row_wt-mad,Zunger Pseudopotential (d)_wt-mean,Zunger Pseudopotential (d)_wt-mad,Zunger Pseudopotential (p)_wt-mean,Zunger Pseudopotential (p)_wt-mad,Zunger Pseudopotential (pi)_wt-mean,Zunger Pseudopotential (pi)_wt-mad,Zunger Pseudopotential (s)_wt-mean,Zunger Pseudopotential (s)_wt-mad,Zunger Pseudopotential (sigma)_wt-mean,Zunger Pseudopotential (sigma)_wt-mad,phi_wt-mean,phi_wt-mad,Conductivity_wt-mean,Conductivity_wt-mad,Measured Conversion,Element Dictionary,predictions
63_250_0,0.0,0.12,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,250.0,1868.82146439318,21.0,0.9688361246555016,0.009749883416620031,3.0,3.0,20.9375,9.0625,62.423136458125,32.27781889354167,44.0698335,22.55847833333333,1632.25,1510.5833333333335,1.8125,2.6875,193.25,24.75,1974.8125,4299.645833333333,36.36,16.71333333333333,46.025,15.579166666666671,1.0075,0.5450000000000003,6.806875,14.065833333333334,0.0,0.0,-2.5763530872500002,3.692991246583334,0.689125,0.2035,28.488750000000003,2.714583333333334,6.806875,14.065833333333334,4.945808100000001,1.4785886999999995,27.169956875,10.076748124999998,40.775748750000005,11.427807916666671,59.4617625,5.896593750000007,79.179375,4.214062500000004,95.30250000000001,5.2875000000000005,114.045,9.581249999999999,145.80374999999998,1.5093750000000075,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,755.46,1043.5866666666666,7.8125,19.604166666666668,1.875,4.0,0.625,2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,1.1875,0.39583333333333326,2.6875,3.604166666666667,1.8125,2.6875,36.36,16.71333333333333,4.0625,0.3541666666666664,0.36374999999999996,0.022083333333333323,1.9906249999999999,0.37770833333333315,0.5353125,0.17385416666666667,1.4553125,0.20385416666666667,3.4459375000000003,0.5815624999999999,2.634375,1.2197916666666668,87.15,32.204166666666666,0.1619056462518121,"dict_items([('Ru', 1.0), ('Sc', 3.0), ('K', 12.0)])",0.3047144956290884
51_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,12.0,250.0,1909.9646464646466,74.0,1.2126592855650722,0.0032909330179055345,3.0,3.0,30.875,25.416666666666664,60.707403364375004,35.518648070625,70.1106,66.33112916666666,2143.1875,2475.6875,2.375,3.375,191.75,27.58333333333333,5024.5,9153.166666666666,35.10375,19.086249999999996,57.36874999999999,22.818749999999998,1.195,0.8616666666666669,13.971250000000001,26.007916666666667,0.0,0.0,-3.8275944991250004,6.056447246791667,0.607375,0.34029166666666666,28.254375000000003,3.157291666666666,13.971250000000001,26.007916666666667,5.19003435,1.93990495,27.78875,8.907916666666665,36.133875,7.04275,45.6825,0.0,61.995,0.0,74.55000000000001,0.0,88.17,0.0,116.16,0.0,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1108.1475,1709.7741666666666,15.3125,29.145833333333336,1.3125,2.8125,1.1875,3.0208333333333335,0.0,0.0,2.625,5.541666666666666,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,1.1875,0.39583333333333326,2.125,2.4583333333333335,5.0,8.541666666666666,35.10375,19.086249999999996,4.4375,0.9375,0.41625,0.09875000000000002,1.9878124999999998,0.3830208333333333,0.5325,0.17916666666666664,1.4553125,0.20385416666666667,3.443125,0.586875,2.925,1.6249999999999998,84.1875,38.45833333333333,0.23438570986055446,"dict_items([('Ru', 1.0), ('W', 3.0), ('K', 12.0)])",0.10763053801409955
31_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,250.0,2008.575,39.0,1.0481809242871185,0.008468969368020506,7.0,3.0,24.3125,12.8125,63.923868075625,29.443103616041668,52.310446875000004,31.842021874999993,1728.8125,1692.9791666666665,1.8125,2.6875,197.0,21.541666666666675,2253.625,4454.541666666667,37.27875,14.977916666666665,48.18125,16.777083333333337,0.98125,0.5304166666666668,6.29875,13.783541666666668,0.0,0.0,-2.6099318406875,3.756417780854167,0.6385,0.2815,28.678125,2.3568750000000005,6.29875,13.783541666666668,4.881272475,1.3566880749999999,27.062,10.280666666666665,39.981375,12.928291666666674,57.0444375,0.1467187499999958,76.4325,2.6531249999999984,91.98750000000001,3.0000000000000027,109.92,0.7312500000000011,140.3475,12.131249999999998,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,752.6475,1038.2741666666666,8.0,19.708333333333332,1.875,4.0,0.625,2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,1.1875,0.39583333333333326,2.6875,3.604166666666667,1.8125,2.6875,37.27875,14.977916666666665,4.25,0.5833333333333335,0.41437499999999994,0.09479166666666664,2.0075,0.3458333333333332,0.5334375,0.17739583333333328,1.4740625,0.16843750000000002,3.4815625,0.5142708333333335,2.625,1.2145833333333338,87.4125,31.650000000000006,0.3963143638884284,"dict_items([('Ru', 1.0), ('Y', 3.0), ('K', 12.0)])",0.21001299049557834
57_250_0,0.0,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,250.0,2310.452261306533,20.0,0.9106251076287242,0.0028743864215874768,3.0,3.0,20.75,8.958333333333334,65.78461327937501,25.928362675625,43.155225,22.050362499999995,1379.875,1276.5,1.625,2.5833333333333335,194.375,23.0,1705.75,4150.166666666667,37.847499999375,13.903611112291665,43.075624999999995,13.940624999999999,0.94,0.5075000000000002,5.764375,13.486666666666665,0.0,0.0,-1.7631311763125002,2.9563446839375,0.7039375,0.19527083333333334,28.5654375,2.569729166666667,5.764375,13.486666666666665,4.861746225,1.3198051583333328,26.9959475,10.4054325,45.68008125,5.6078437500000025,58.295625,2.9812500000000037,77.83875,0.8625000000000016,94.94625000000002,4.396874999999998,112.02000000000001,4.518749999999996,143.76749999999998,3.5812499999999936,0.9375,0.35416666666666663,0.0625,0.3541666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,624.3975,885.2154166666666,7.0625,19.1875,0.1875,1.0625,0.4375,2.4791666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,1.1875,0.39583333333333326,1.0,0.9583333333333333,1.625,2.5833333333333335,37.847499999375,13.903611112291665,4.0625,0.3541666666666664,0.36937499999999995,0.025208333333333374,2.01875,0.32458333333333345,0.5446875,0.1561458333333333,1.4740625,0.16843750000000002,3.4928125000000003,0.49302083333333335,2.503125,1.146875,121.875,41.10416666666666,0.1257792764286184,"dict_items([('Ru', 1.0), ('Ca', 3.0), ('K', 12.0)])",0.05716779786540955
87_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,250.0,2536.212871287129,42.0,1.02,0.0056784650203704976,4.0,3.0,24.875,13.875,60.640305790000006,35.64538793333333,53.6331,34.340366666666654,1971.4375,2151.2708333333335,2.375,3.375,190.25,30.41666666666667,3342.625,5976.291666666667,35.4225,18.484166666666667,56.1125,21.183333333333326,1.1575,0.7908333333333335,11.190625,20.755624999999995,0.0,0.0,-3.43146458975,5.3082018624166665,0.6296875,0.29814583333333333,28.215000000000003,3.2316666666666682,11.190625,20.755624999999995,5.04535935,1.66662995,27.8,8.886666666666667,41.22075,10.587250000000004,54.38249999999999,6.8015624999999975,72.21187499999999,13.204687499999995,87.45517500000001,14.330812500000004,111.732,3.7987499999999956,143.08499999999998,5.2874999999999925,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,958.335,1426.795,15.125,28.791666666666664,1.125,2.4583333333333335,1.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.125,2.4583333333333335,2.375,3.375,35.4225,18.484166666666667,4.25,0.5833333333333335,0.39749999999999996,0.06083333333333335,1.9849999999999999,0.38833333333333336,0.5296875,0.18447916666666667,1.4553125,0.20385416666666667,3.4403125,0.5921874999999998,2.896875,1.5718750000000004,110.0625,16.16666666666667,0.15054885690851846,"dict_items([('Ru', 1.0), ('Mo', 3.0), ('K', 12.0)])",0.1380206363582669
78_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,11.0,250.0,2659.358852154718,83.0,0.9090909090909084,0.0,4.0,3.0,32.5625,28.979166666666664,64.387039238125,28.568224753541664,74.82442499999999,76.28253749999999,1394.875,1284.8333333333333,4.0625,6.5625,189.125,32.54166666666667,3248.875,5799.208333333333,33.0975,22.875833333333333,59.73125,27.28125,1.13125,0.7412500000000003,6.2455,13.753958333333333,0.0,0.0,-2.142887082875,3.1673201875833334,0.6054999999999999,0.3438333333333333,28.488750000000003,2.714583333333334,6.2455,13.753958333333333,5.081559975,1.7350089083333333,27.9018125,8.694354166666667,40.926375,11.143291666666666,54.176249999999996,7.317187499999999,72.495,12.496875,91.10625000000002,5.203125000000008,88.17,0.0,116.16,0.0,0.75,0.5833333333333334,0.0625,0.3541666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,517.41,825.7779166666667,21.875,41.541666666666664,0.1875,1.0625,2.3125,5.145833333333333,0.0,0.0,2.625,5.541666666666666,0.5625,1.1875,0.5625,1.1875,0.8125,0.39583333333333337,1.1875,0.39583333333333326,1.5625,1.3958333333333335,6.6875,12.104166666666668,33.0975,22.875833333333333,4.4375,0.9375,0.38774999999999993,0.04241666666666666,1.9056874999999998,0.5381458333333333,0.506625,0.22804166666666664,1.3990625,0.3101041666666667,3.3047500000000003,0.8482500000000001,2.803125,1.3947916666666669,85.666875,35.335208333333334,0.0,"dict_items([('Ru', 1.0), ('Bi', 3.0), ('K', 12.0)])",0.1527611589109754
42_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,250.0,1992.775,28.0,1.074331020812686,0.00942257021847226,7.0,3.0,22.25,9.791666666666666,59.785381493125,37.26024493854167,46.6456125,23.989466666666665,1647.8125,1539.9791666666665,3.125,4.791666666666667,184.625,41.04166666666667,3085.375,5490.375,34.2975,20.609166666666667,63.631249999999994,34.64791666666667,1.110625,0.7022916666666668,7.440625,14.417916666666668,0.0,0.0,-2.4377552397500004,3.431195312416667,0.665875,0.22979166666666667,28.591875,2.519791666666669,7.440625,14.417916666666668,5.147991225,1.860490158333333,28.1766575,8.1752025,42.732,7.73266666666667,55.97624999999999,2.817187499999997,76.25625,3.0937499999999973,94.80000000000001,4.031249999999997,113.1075,7.237499999999999,146.535,3.337500000000002,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,739.335,1013.1283333333333,17.1875,32.6875,0.5625,1.3958333333333333,1.9375,4.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,1.1875,0.39583333333333326,1.375,1.1666666666666667,3.125,4.791666666666667,34.2975,20.609166666666667,4.0625,0.3541666666666664,0.3421875,0.05760416666666664,1.9324999999999999,0.4874999999999999,0.5259375000000001,0.19156249999999997,1.4065625000000002,0.29593749999999996,3.3390625000000003,0.7834375,3.0,1.766666666666667,101.23125,3.9270833333333215,0.10292033800299777,"dict_items([('Ru', 1.0), ('Ni', 3.0), ('K', 12.0)])",0.11504545375050065
45_250_0,0.0,0.12,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,250.0,2153.137254901961,24.0,0.9649280575539572,0.007195661736864042,3.0,3.0,21.5,9.375,60.00131643625001,36.85236782375,45.389868750000005,23.291831249999998,1602.4375,1454.2708333333335,2.375,3.375,187.4375,35.72916666666667,2753.875,4864.208333333333,35.1975,18.909166666666668,54.6875,20.391666666666662,1.06375,0.6137500000000002,8.100625,14.918958333333332,0.0,0.0,-3.180141234125,4.8334799684583345,0.6668125,0.2280208333333333,28.081875000000004,3.483125000000002,8.100625,14.918958333333332,4.984249350000001,1.5511999500000004,27.86106875,8.771314583333334,41.938875,9.230791666666669,54.9,5.5078125,75.01875,6.187499999999997,91.54404375000001,4.108640625000006,118.20375,19.978125000000002,150.79125,13.978124999999997,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,824.085,1173.2116666666666,14.9375,28.4375,1.125,2.4583333333333335,1.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.125,2.4583333333333335,2.375,3.375,35.1975,18.909166666666668,4.0625,0.3541666666666664,0.3525,0.035833333333333356,1.9606249999999998,0.43437499999999984,0.5334375,0.17739583333333328,1.4271875,0.25697916666666665,3.3878125,0.6913541666666667,2.896875,1.5718750000000004,102.28125,4.5104166666666625,0.1014863676865468,"dict_items([('Ru', 1.0), ('Cr', 3.0), ('K', 12.0)])",0.15456881775555398
108_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,250.0,2268.817733990148,49.0,1.0548885077186962,0.011713691379763304,3.0,3.0,26.1875,16.354166666666668,62.624389065625,31.897675079374995,57.168975,41.01924166666666,1490.125,1337.75,3.6875,5.854166666666667,188.0,34.66666666666667,2785.75,4924.416666666667,34.831875,19.599791666666665,48.05,16.704166666666666,1.08625,0.6562500000000002,4.7801875,12.939895833333333,0.0,0.0,-1.897844750375,3.0311855584166674,0.6263124999999999,0.30452083333333335,28.7175,2.282500000000001,4.7801875,12.939895833333333,4.800471225000001,1.2201189041666662,28.30818125,7.926768749999998,41.3895,10.268500000000001,55.8075,3.2390624999999984,61.995,0.0,74.55000000000001,0.0,88.17,0.0,116.16,0.0,0.75,0.5833333333333334,0.0625,0.3541666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,495.913125,813.8352083333332,19.8125,37.645833333333336,0.1875,1.0625,2.3125,5.145833333333333,0.0,0.0,0.0,0.0,0.9375,1.9791666666666665,0.1875,0.39583333333333337,0.8125,0.39583333333333337,1.1875,0.39583333333333326,1.9375,2.1041666666666665,3.6875,5.854166666666667,34.831875,19.599791666666665,4.25,0.5833333333333335,0.373125,0.027291666666666704,1.9118749999999998,0.5264583333333331,0.5090625,0.2234375,1.4028125,0.3030208333333334,3.3146875,0.8294791666666669,2.75625,1.3062500000000001,99.525,6.079166666666665,0.17790611400163936,"dict_items([('Ru', 1.0), ('In', 3.0), ('K', 12.0)])",0.052757732056846855
75_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,250.0,2159.5979899497493,38.0,0.9273897058823533,0.02627269477085737,4.0,3.0,24.125,12.458333333333332,68.10697768187501,24.19548966854167,52.06935,31.38661666666667,1360.75,1265.875,1.625,2.5833333333333335,197.9375,21.020833333333325,1908.25,4262.666666666667,37.813125,13.968541666666665,43.574374999999996,14.217708333333329,0.930625,0.5022916666666669,5.55625,13.37104166666667,0.0,0.0,-1.7133469328750002,2.9286867709166664,0.64,0.2786666666666667,28.726875000000003,2.26479166666667,5.55625,13.37104166666667,4.783313100000001,1.2105866125,26.83814375,10.703506249999998,44.17575,6.44358333333334,56.37,1.8328124999999984,75.42,5.184375000000001,91.57500000000002,4.031250000000008,108.045,5.418750000000001,139.09125,15.271874999999994,0.9375,0.35416666666666663,0.0625,0.3541666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,612.21,878.4445833333332,7.25,19.291666666666668,0.1875,1.0625,0.4375,2.4791666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,1.1875,0.39583333333333326,1.0,0.9583333333333333,1.625,2.5833333333333335,37.813125,13.968541666666665,4.25,0.5833333333333335,0.4243125,0.11577083333333331,2.0393749999999997,0.2856249999999999,0.5465625000000001,0.15260416666666668,1.4928124999999999,0.15239583333333329,3.5321875,0.4342708333333336,2.475,1.13125,90.825,24.445833333333333,0.04950121583024065,"dict_items([('Ru', 1.0), ('Sr', 3.0), ('K', 12.0)])",0.18398076683419706
