,Atomic Number_wt-mad,Atomic Number_wt-mean,Atomic Volume_wt-mad,Atomic Volume_wt-mean,Atomic Weight_wt-mad,Atomic Weight_wt-mean,Bi Loading,Boiling Temperature_wt-mad,Boiling Temperature_wt-mean,Ca Loading,Co Loading,Conductivity_wt-mad,Conductivity_wt-mean,Covalent Radius_wt-mad,Covalent Radius_wt-mean,Cr Loading,Cu Loading,Density_wt-mad,Density_wt-mean,Dipole Polarizability_wt-mad,Dipole Polarizability_wt-mean,Eighth Ionization Energy_wt-mad,Eighth Ionization Energy_wt-mean,Electron Affinity_wt-mad,Electron Affinity_wt-mean,Electronegativity_wt-mad,Electronegativity_wt-mean,Element Dictionary,Fe Loading,Fifth Ionization Energy_wt-mad,Fifth Ionization Energy_wt-mean,First Ionization Energy_wt-mad,First Ionization Energy_wt-mean,Fourth Ionization Energy_wt-mad,Fourth Ionization Energy_wt-mean,Fusion Enthalpy_wt-mad,Fusion Enthalpy_wt-mean,GS Bandgap_wt-mad,GS Bandgap_wt-mean,GS Energy_wt-mad,GS Energy_wt-mean,Heat Capacity (Mass)_wt-mad,Heat Capacity (Mass)_wt-mean,Heat Capacity (Molar)_wt-mad,Heat Capacity (Molar)_wt-mean,Heat Fusion_wt-mad,Heat Fusion_wt-mean,Hf Loading,In Loading,Ir Loading,IsAlkali_wt-mad,IsAlkali_wt-mean,IsDBlock_wt-mad,IsDBlock_wt-mean,IsFBlock_wt-mad,IsFBlock_wt-mean,IsMetal_wt-mad,IsMetal_wt-mean,IsMetalloid_wt-mad,IsMetalloid_wt-mean,IsNonmetal_wt-mad,IsNonmetal_wt-mean,K Loading,Measured Conversion,Melting Temperature_wt-mad,Melting Temperature_wt-mean,Mendeleev Number_wt-mad,Mendeleev Number_wt-mean,Mg Loading,Mn Loading,Mo Loading,Ni Loading,Number Unfilled Electrons_wt-mad,Number Unfilled Electrons_wt-mean,Number Valence Electrons_wt-mad,Number Valence Electrons_wt-mean,Number d-shell Unfilled Electrons_wt-mad,Number d-shell Unfilled Electrons_wt-mean,Number d-shell Valance Electrons_wt-mad,Number d-shell Valance Electrons_wt-mean,Number f-shell Unfilled Electrons_wt-mad,Number f-shell Unfilled Electrons_wt-mean,Number f-shell Valance Electrons_wt-mad,Number f-shell Valance Electrons_wt-mean,Number p-shell Unfilled Electrons_wt-mad,Number p-shell Unfilled Electrons_wt-mean,Number p-shell Valance Electrons_wt-mad,Number p-shell Valance Electrons_wt-mean,Number s-shell Unfilled Electrons_wt-mad,Number s-shell Unfilled Electrons_wt-mean,Number s-shell Valance Electrons_wt-mad,Number s-shell Valance Electrons_wt-mean,Os Loading,Pd Loading,Periodic Table Column_wt-mad,Periodic Table Column_wt-mean,Periodic Table Row_wt-mad,Periodic Table Row_wt-mean,Polarizability_wt-mad,Polarizability_wt-mean,Pt Loading,Re Loading,Rh Loading,Ru Loading,Sc Loading,Second Ionization Energy_wt-mad,Second Ionization Energy_wt-mean,Seventh Ionization Energy_wt-mad,Seventh Ionization Energy_wt-mean,Sixth Ionization Energy_wt-mad,Sixth Ionization Energy_wt-mean,Sr Loading,Third Ionization Energy_wt-mad,Third Ionization Energy_wt-mean,W Loading,XRD 2TH 11.10,XRD 2TH 12.79,XRD 2TH 16.19,XRD 2TH 17.50,XRD 2TH 18.15,XRD 2TH 18.94,XRD 2TH 19.60,XRD 2TH 21.84,XRD 2TH 26.74,XRD 2TH 28.61,XRD 2TH 32.10,XRD 2TH 33.59,XRD 2TH 34.26,XRD 2TH 35.35,XRD 2TH 36.03,XRD 2TH 37.12,XRD 2TH 38.49,XRD 2TH 40.14,XRD 2TH 40.83,XRD 2TH 46.27,XRD 2TH 50.54,XRD 2TH 53.42,Y Loading,Zn Loading,Zunger Pseudopotential (d)_wt-mad,Zunger Pseudopotential (d)_wt-mean,Zunger Pseudopotential (p)_wt-mad,Zunger Pseudopotential (p)_wt-mean,Zunger Pseudopotential (pi)_wt-mad,Zunger Pseudopotential (pi)_wt-mean,Zunger Pseudopotential (s)_wt-mad,Zunger Pseudopotential (s)_wt-mean,Zunger Pseudopotential (sigma)_wt-mad,Zunger Pseudopotential (sigma)_wt-mean,ammonia_concentration,n_averaged,n_elements,phi_wt-mad,phi_wt-mean,reactor_number,space_velocity,standard error,temperature,predictions
87_300_0,870.625,24.875,2120.7253019707878,60.640305790000006,4221.43090891,53.6331,0.0,6812630.854166666,1971.4375,0.0,0.0,13115.78125,110.0625,31898.583333333332,190.25,0.0,0.0,26190581.083333332,3342.625,774.9262249999999,35.4225,21354.005400000002,143.08499999999998,4144.843333333332,56.1125,1.998616666666667,1.1575,"dict_items([('Ru', 1), ('Mo', 3.0), ('K', 12)])",0.0,4951.929328125,72.21187499999999,31.606810558750787,5.04535935,2917.8930375,54.38249999999999,292.4669843749999,11.190625,0.0,0.0,-24.178420973850944,-3.43146458975,0.26153020833333335,0.6296875,730.9566,28.215000000000003,292.4669843749999,11.190625,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.16582702300000002,1865408.6608499999,958.335,549.5416666666667,15.125,0.0,0.0,0.03,0.0,7.791666666666667,2.125,11.875,2.375,3.0,1.125,5.5,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,11.875,2.375,19.833333333333336,4.25,774.9262249999999,35.4225,0.0,0.0,0.0,0.01,0.0,598.1633333333333,27.8,13587.951984,111.732,7356.187098915001,87.45517500000001,0.0,1393.3437915000002,41.22075,0.0,0.018152071893719732,0.020000197232242032,0.046718065132615005,0.08222373738782769,0.11402808671770626,0.12410493556963573,0.12742497704220992,0.08298769523473915,0.011691403003108676,0.4097843532188394,0.0017020134637661425,0.00589069709181575,0.0061186263742652675,0.048797956945154784,0.02311371749226484,0.032280743029214326,0.0245190760187107,0.024537459888230397,0.208438753126068,0.09719424975753096,0.0645877064592095,0.044749268440143916,0.0,0.0,0.17357499999999998,0.39749999999999996,3.381116666666666,1.9849999999999999,0.21275781250000003,0.5296875,1.8943317708333336,1.4553125,10.338139062500002,3.4403125,1.02,2.0,3.0,11.877187500000002,2.896875,6.0,2536.212871,0.003255444,300.0,0.1799314899199998
83_300_0,926.5,25.5,2096.830064891124,60.419181095000006,4542.1544310975005,55.259975000000004,0.0,5015793.375,1731.375,0.0,0.0,9756.122500000001,100.475,30561.0,187.875,0.0,0.0,31065738.375,3691.125,657.4142249999999,34.2225,17990.8608,116.16,3774.765,55.675,2.0271000000000003,1.165,"dict_items([('Ru', 2), ('Pd', 2.0), ('K', 12)])",0.0,5124.5067,61.995,34.85068377757256,5.2176724750000005,2782.5210749999997,45.6825,166.60379583333335,8.6675,0.0,0.0,-13.44825805988468,-2.6147058022500005,0.259364,0.628,755.3854000000001,28.455000000000002,166.60379583333335,8.6675,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.297161443,1283203.115975,806.77875,685.6666666666667,17.0,0.0,0.0,0.0,0.0,2.0833333333333335,1.25,19.0,3.0,0.375,0.375,12.041666666666668,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.875,0.5833333333333334,0.875,0.0,0.02,19.0,3.0,19.833333333333336,4.25,657.4142249999999,34.2225,0.0,0.0,0.0,0.02,0.0,638.5535583333333,28.24625,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1501.9381923333335,42.0295,0.0,0.010637662021268852,0.007171244347753964,0.06766332525250861,0.09608081327047836,0.1070824088417402,0.137818708483796,0.13522164733582004,0.09865610953878552,0.02298982342121543,0.2611548503684318,0.01395549130787562,0.05382794315046231,0.0984063566918786,0.03247339504698046,0.031300871111929286,0.025120024436126067,0.015729186845180734,0.017941596076590433,0.12336223894092364,0.07326537155549043,0.03283591256959105,0.03728229479554157,0.0,0.0,0.15605833333333335,0.38375,3.263975,1.9662499999999998,0.215915625,0.5331250000000001,1.7985718750000002,1.433125,9.909178124999999,3.399375,1.0795660040000001,4.0,3.0,13.291041666666668,3.04375,14.0,2184.35,0.040632661,300.0,0.32564520672500025
77_300_0,1466.0833333333333,30.125,2623.604046279261,63.01731519625,7923.3507415725,68.080025,0.02,3783332.666666666,1556.5,0.0,0.0,7010.1494625,92.48625,31311.0,189.0,0.0,0.0,26155904.833333336,3410.75,597.4623916666666,33.6725,17990.8608,116.16,4847.108749999999,60.3625,1.9194000000000004,1.1425,"dict_items([('Ru', 2), ('Bi', 2.0), ('K', 12)])",0.0,4783.42335,68.995,32.190289422766725,5.086247475,2726.6762249999997,51.345,138.11195358333336,7.96325,0.0,0.0,-11.74174009838928,-2.469195781,0.22814725,0.61275,749.5046833333334,28.3975,138.11195358333336,7.96325,0.0,0.0,0.0,0.25,0.75,0.041666666666666664,0.125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.049364637999999995,751442.5458083334,646.3225,966.6666666666667,20.0,0.0,0.0,0.0,0.0,4.333333333333333,1.625,68.08333333333333,5.375,0.375,0.375,12.041666666666668,2.125,0.0,0.0,8.166666666666668,1.75,0.375,0.375,0.375,0.375,0.5833333333333334,0.875,1.5,1.125,0.0,0.0,29.0,3.625,21.875,4.375,597.4623916666666,33.6725,0.0,0.0,0.0,0.02,0.0,605.4815249583334,27.905375,10365.2652,88.17,8032.386875000001,85.5875,0.0,1368.0277490000003,41.10825,0.0,0.14186450815340154,0.08918568517330593,0.2715298656461427,0.06325657842419254,0.06593557028349874,0.05648621458432381,0.06213504474055216,0.1052962186112988,0.24264545228348414,1.4345307530398437,0.28210819319237995,0.15315329126625546,0.20136068897437595,0.17293918020776822,0.3500489315329625,0.19571909695369,0.13630900364325346,0.11553636353886447,0.3567998576173245,0.30188912941651425,0.13462666424479128,0.1178111754083562,0.0,0.0,0.16291099999999997,0.38849999999999996,3.0147174583333327,1.9296249999999997,0.18628433333333333,0.5165,1.6981052083333334,1.413125,9.239360999999999,3.34275,1.063311688,4.0,3.0,11.332916666666666,2.88125,10.0,2433.2,0.045606548,300.0,0.257160232445
49_300_0,1238.7083333333333,27.125,2120.264597388016,60.421045863125,6454.715148034999,59.76435,0.0,7400002.5625,1967.5625,0.0,0.0,7229.78125,98.8125,32320.75,189.75,0.0,0.0,45082100.66666667,4164.5,744.0652875,34.91625,17990.8608,116.16,4581.695624999999,60.20625,2.107166666666667,1.175,"dict_items([('Ru', 3), ('W', 1.0), ('K', 12)])",0.0,5124.5067,61.995,33.43752252286541,5.1270931,2782.5210749999997,45.6825,380.90382291666674,12.256250000000001,0.0,0.0,-26.018410359887138,-3.357073617875,0.23314812499999998,0.620625,733.2725937500002,28.228125000000002,380.90382291666674,12.256250000000001,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.56671637,2151210.114391667,972.1475,584.375,15.9375,0.0,0.0,0.0,0.0,6.875,1.875,33.83333333333333,3.5,2.8125,0.9375,5.729166666666667,1.5625,0.0,0.0,4.083333333333334,0.875,0.0,0.0,0.0,0.0,0.625,0.9375,1.4166666666666665,1.0625,0.0,0.0,13.125,2.625,21.5625,4.3125,744.0652875,34.91625,0.0,0.0,0.0,0.03,0.0,599.1389708333334,27.87125,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1474.1047072500003,39.692625,0.01,-0.013776033771194542,0.01242703729748456,0.06201875156434361,0.09042810329700582,0.12549477007784707,0.13360681599510466,0.13469046661945133,0.08883657509467502,0.016024796061810218,0.36166453498375,0.007744021133050429,-0.00031277146026744215,0.0069794337004984025,0.06782500235589745,0.05050384991713009,0.03706862414287428,0.0259575625268718,0.03227640869256064,0.16148211310905278,0.09955899580397097,0.048424036361744735,0.031588486330663745,0.0,0.0,0.18741249999999998,0.39874999999999994,3.3841015624999997,1.9809374999999998,0.21756666666666669,0.535,1.8821286458333337,1.4459375,10.31489375,3.426875,1.148003895,3.0,3.0,12.45,3.0,10.0,2038.517588,0.012122562,300.0,0.3696822907400001
59_300_0,1293.75,28.75,2284.5229913680805,61.36547171,6826.587550555834,64.268725,0.0,6668230.041666666,1936.375,0.0,0.0,7628.645833333333,94.375,33601.5,192.375,0.0,0.0,34072224.0,3852.0,820.2489750000001,35.6475,17990.8608,116.16,2443.2287499999998,48.9625,1.5156,1.0525,"dict_items([('Ru', 2), ('Hf', 2.0), ('K', 12)])",0.0,5124.5067,61.995,31.054251047865343,5.028693725,2348.8731,49.848749999999995,226.515625,9.975000000000001,0.0,0.0,-21.70942467514726,-3.216771397875,0.2336848333333333,0.6154999999999999,752.1871708333334,28.423750000000002,226.515625,9.975000000000001,0.02,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.7993198579999999,1619459.536475,891.5225,515.6666666666666,14.875,0.0,0.0,0.0,0.0,9.75,2.25,36.0,4.0,5.041666666666666,1.375,3.375,1.125,0.0,0.0,8.166666666666668,1.75,0.0,0.0,0.0,0.0,0.5833333333333334,0.875,1.5,1.125,0.0,0.0,9.75,2.25,21.875,4.375,820.2489750000001,35.6475,0.0,0.0,0.0,0.02,0.0,585.142525,27.6925,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1327.871127333333,40.82575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199375,0.4125,3.4734750000000005,1.9962499999999999,0.22049895833333333,0.535625,1.9401968750000003,1.460625,10.606844791666667,3.456875,1.020408163,3.0,3.0,10.546875,2.8125,0.0,2234.988453,0.004969793,300.0,0.84302896764
93_300_0,1428.875,31.0625,2099.600861112869,60.492078328750004,7675.73918200375,70.55441250000001,0.0,8118836.166666667,2150.875,0.0,0.0,8309.21875,93.1875,31614.583333333332,189.6875,0.0,0.0,61144806.083333336,5356.375,726.2077874999999,34.84125,17990.8608,116.16,2482.1566666666663,45.349999999999994,1.81835,1.10875,"dict_items([('Ru', 1), ('Re', 3.0), ('K', 12)])",0.0,5124.5067,61.995,33.7579755819061,5.184313725000001,2782.5210749999997,45.6825,263.84571354166667,10.553125,0.0,0.0,-28.20491922401381,-3.72601208975,0.22953658333333335,0.6083124999999999,751.3353750000001,28.481250000000003,263.84571354166667,10.553125,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.115003504,2270545.220225,1063.8975,597.9583333333333,15.875,0.0,0.0,0.0,0.0,6.458333333333334,1.9375,51.875,5.1875,3.0,1.125,5.5,1.375,0.0,0.0,12.25,2.625,0.0,0.0,0.0,0.0,0.5416666666666666,0.8125,1.5833333333333335,1.1875,0.0,0.0,13.666666666666666,2.5625,22.1875,4.4375,726.2077874999999,34.84125,0.0,0.03,0.0,0.01,0.0,599.31015,24.77,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1341.9398497500001,36.133875,0.0,0.0059834167762734,0.0030728656269013443,0.0519455203234433,0.19245717573713889,0.11231231980458416,0.11934100465413705,0.13511447120175807,0.07606367125233525,0.1343138997979888,0.32541966126796673,0.02350639714941251,0.0019429121803620844,0.003925334760661349,0.15291574725207413,0.035091015272063965,0.03897672315018394,0.027360667234822573,0.028949726955083768,0.14347067962868382,0.08848420867511396,0.037356269434759566,0.0769867007864854,0.0,0.0,0.19000468749999994,0.41156249999999994,3.3713124999999993,1.9831249999999998,0.21782031250000003,0.5334375,1.8725130208333334,1.4496875,10.269830729166667,3.4328125000000003,1.01,2.0,3.0,12.850000000000003,3.0,14.0,2442.711443,0.018575461,300.0,0.3317563449499999
33_300_0,581.25,23.25,2285.8487521203547,60.881268280625,2729.8956240454168,49.7934125,0.0,3837397.666666666,1688.5,0.0,0.0,13588.40625,108.5625,30778.125,188.4375,0.0,0.0,15313160.0,3070.0,739.7440606913372,34.895416666875,27940.093649999995,132.7825,2759.158125,55.293749999999996,1.6011979166666668,1.109375,"dict_items([('Ru', 3), ('Mg', 1.0), ('K', 12)])",0.0,7929.851146874999,70.824375,32.97751730452832,5.1134809125,4468.093361101563,52.511593749999996,156.7270697916667,9.516875,0.0,0.0,-10.428279128611637,-2.6435405985000004,0.454932875,0.6763125,739.8887858541666,28.2655625,156.7270697916667,9.516875,0.0,0.0,0.0,0.5416666666666666,0.8125,0.0625,0.1875,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.8140625579999999,1029653.7168916665,798.8975,719.6666666666667,17.0,0.01,0.0,0.0,0.0,2.5,1.5,8.708333333333332,2.375,0.5625,0.5625,3.0625,1.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.9375,1.4166666666666665,1.0625,0.0,0.0,8.708333333333332,2.375,16.5,4.125,739.7440606913372,34.895416666875,0.0,0.0,0.0,0.03,0.0,587.8402940848521,27.804704375,17511.619037500004,102.23375,12336.7153,86.22250000000001,0.0,2300.9362088810417,44.70160625,0.0,0.015401387819898943,0.016955057835497573,0.061016829187450036,0.10837929577449062,0.1425676254428565,0.15218138072346274,0.15774134702495898,0.10373849776691844,0.012254198460884177,0.2033386844967028,0.0011472586732768134,0.001530960361878086,0.0006282648287341508,0.04021981780943359,0.025947838412776973,0.0327441069619877,0.02530242640362806,0.03733257039878198,0.08883825868461763,0.08050569544019702,0.0274223010430433,0.01917637270255693,0.0,0.0,0.14836875,0.36187499999999995,3.0918624999999995,1.9568749999999997,0.2044109375,0.5309375000000001,1.7039953125,1.4259375,9.3873046875,3.3828125,0.9613804440000001,5.0,3.0,10.787812500000003,2.9156250000000004,11.0,2368.054187,0.025140636,300.0,0.44221609628500014
75_300_0,812.2083333333333,24.125,3285.9089933119667,68.10697768187501,3953.596239535,52.06935,0.0,3224977.5,1360.75,0.0,0.0,7717.0975,90.825,35892.666666666664,197.9375,0.0,0.0,10085737.333333332,1908.25,987.9309124999999,37.813125,19276.6563375,139.09125,2247.421014583333,43.574374999999996,1.2315270833333334,0.930625,"dict_items([('Ru', 1), ('Sr', 3.0), ('K', 12)])",0.0,5817.1446,75.42,27.73685943522141,4.783313100000001,3323.29335,56.37,89.55748958333335,5.55625,0.0,0.0,-6.839102349068803,-1.7133469328750002,0.27754666666666666,0.64,770.35903125,28.726875000000003,89.55748958333335,5.55625,0.0,0.0,0.0,0.625,0.9375,0.020833333333333332,0.0625,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.70658984,814959.6670999998,612.21,161.91666666666666,7.25,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,5.958333333333333,1.625,0.1875,0.1875,1.0208333333333335,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.8125,1.5833333333333335,1.1875,0.0,0.0,5.958333333333333,1.625,19.833333333333336,4.25,987.9309124999999,37.813125,0.0,0.0,0.0,0.01,0.0,531.5750618131251,26.83814375,12077.270100000002,108.045,8708.782500000001,91.57500000000002,0.03,1725.2986415,44.17575,0.0,0.01877807402325608,0.009531361210835507,0.061019952056151724,0.08864106790264431,0.10986199471961873,0.1246328692860536,0.12393449742885156,0.10264651928129773,0.01229822822927034,0.2833460534495653,0.02548342923741513,0.002783705399459165,0.005467123527328003,0.02417339390416002,0.03227021711932722,0.040281695786649516,0.0224647882091056,0.031145954351450476,0.1670234214446231,0.11957189562978215,0.056440227111410876,0.034204496619365886,0.0,0.0,0.20550868749999998,0.4243125,3.6708749999999997,2.0393749999999997,0.2359328125,0.5465625000000001,2.042665104166667,1.4928124999999999,11.191147395833331,3.5321875,0.9273897059999999,4.0,3.0,8.29125,2.475,7.0,2159.5979899999998,0.074278241,300.0,0.7409647371399994
17_300_0,688.0833333333334,22.4375,2023.2938505686848,59.952004772500004,3229.2434335975,47.555475,0.0,4761512.1875,1650.4375,0.0,0.0,32964.0625,159.375,29842.041666666668,186.125,0.0,0.03,22792847.75,3087.625,671.8927874999999,34.175625,23630.4054,147.285,5793.7527083333325,64.83125,1.81835,1.10875,"dict_items([('Ru', 1), ('Cu', 3.0), ('K', 12)])",0.0,6251.2577249999995,76.9575,33.44273477091798,5.164224975000001,3338.21773125,56.44125,122.011046875,6.713125,0.0,0.0,-9.72481897113079,-2.087942161625,0.30121375,0.6548125,736.3853750000001,28.286250000000003,122.011046875,6.713125,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.11075924699999999,960504.4848125,669.9168749999999,727.75,17.75,0.0,0.0,0.0,0.0,2.375,1.1875,22.083333333333332,3.3125,0.1875,0.1875,13.104166666666668,2.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,22.083333333333332,3.3125,17.604166666666664,4.0625,671.8927874999999,34.175625,0.0,0.0,0.0,0.01,0.0,654.1958535266667,28.574825,14653.7451,114.2325,9498.885,93.86250000000001,0.0,1594.2164334375002,43.0415625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11400468749999998,0.34031249999999996,3.0547874999999993,1.9212499999999997,0.21275781250000003,0.5296875,1.6536401041666666,1.3915625,9.204097395833331,3.3128125,1.015100671,6.0,3.0,11.532812500000002,2.859375,3.0,2354.2,0.024467187999999997,300.0,0.19488830114000005
15_300_0,745.5833333333333,24.3125,2030.6254404647004,60.1692463325,3547.7507416474996,52.245975,0.0,5202556.5625,1803.3125,0.0,0.0,25621.479166666668,123.875,30122.625,187.875,0.0,0.01,25976335.25,3518.875,680.3711625,34.606875,20301.2754,126.535,5602.731458333332,62.693749999999994,1.8798499999999998,1.14625,"dict_items([('Ru', 3), ('Cu', 1.0), ('K', 12)])",0.0,5440.988474999999,66.9825,33.14656187330948,5.118489975,2914.00021875,49.26875,178.785203125,9.836875000000001,0.0,0.0,-12.935063856020157,-2.7771895053750004,0.29276125,0.6364375,735.1487916666667,28.238750000000003,178.785203125,9.836875000000001,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.303233369,1184392.5264375,826.0706250000001,686.75,16.75,0.0,0.0,0.0,0.0,3.125,1.5625,19.583333333333336,2.9375,0.5625,0.5625,10.979166666666668,1.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,19.583333333333336,2.9375,18.145833333333332,4.1875,680.3711625,34.606875,0.0,0.0,0.0,0.03,0.0,644.0869489533334,28.133275,12424.8801,96.8575,8195.935000000001,80.98750000000001,0.0,1555.4597498125004,41.9951875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12510156249999999,0.3734375,3.1144124999999994,1.9587499999999998,0.2145151041666667,0.5340625,1.6930036458333333,1.4246875,9.400317187499999,3.3834375000000003,1.005633803,6.0,3.0,12.011770833333337,2.9781250000000004,0.0,2092.910448,0.064583262,300.0,0.5071154878950004
